# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	11615
#@/user_id	0ba0088c-26ad-4165-b815-edfac2094e5f
a 	啊	c=33 d=1.71352 t=11615
zhe die 	摺疊	c=2 d=7.3053e-05 t=11615
zhe fan 	折返	c=3 d=5.29204e-10 t=11615
zhe fan xing 	折返性	c=1 d=9.7614e-11 t=11615
zhe ge 	這個	c=7 d=0.0120285 t=11615
zhe ge dong xi 	這個東西	c=0 d=0.00116203 t=11615
zhe ge liu chang du 	這個流暢度	c=1 d=0.00637737 t=11615
zhe me 	這麼	c=1 d=0.0126512 t=11615
zhe she 	折射	c=3 d=1.63235e-15 t=11615
zhe shi 	這是	c=36 d=2.79283 t=11615
zhe shi 	這時	c=0 d=5.33227e-16 t=11615
zhe shi de 	這時的	c=1 d=5.35899e-15 t=11615
zhe shi yi ge 	這是一個	c=1 d=0.000101039 t=11615
zhe xia 	這下	c=0 d=0.00118551 t=11615
zhe xia wo 	這下我	c=1 d=0.0119145 t=11615
zhe xia wu 	這下午	c=1 d=0.0118551 t=11615
zhe xie 	這些	c=1 d=2.94668e-08 t=11615
zhe yang jiu 	這樣就	c=1 d=1 t=11587
zhe yi 	這一	c=1 d=7.25261e-16 t=11615
zhe yu 	這與	c=1 d=0.371577 t=11615
zhe zai 	這在	c=1 d=7.62706e-20 t=11615
zhe zhong 	這種	c=2 d=1.66853e-16 t=11615
zhe zhong shi 	這種事	c=1 d=6.69045e-08 t=11615
zhen 	真	c=3 d=0.0138654 t=11615
zhen chan 	震顫	c=3 d=0.000278804 t=11615
zhen ci 	針刺	c=1 d=0.618783 t=11615
zhen dang 	震盪	c=1 d=0.101774 t=11615
zhen de shi 	真的是	c=0 d=0.00110536 t=11615
zhen de shi shen qi de yi pi wo gan jue wo 	真的是神奇的一批我感覺我	c=1 d=0.011109 t=11615
zhen dong 	振動	c=3 d=5.17743e-14 t=11615
zhen dong 	震動	c=2 d=0.00147485 t=11615
zhen dong bo 	振動波	c=1 d=2.6884e-17 t=11615
zhen dong pin lv 	振動頻率	c=1 d=2.75646e-17 t=11615
zhen duan 	診斷	c=36 d=1.25816 t=11615
zhen fa xing 	陣發性	c=5 d=5.84386e-09 t=11615
zhen fu 	振幅	c=0 d=7.34446e-18 t=11615
zhen fu gao du 	振幅高度	c=1 d=7.38128e-17 t=11615
zhen jing 	鎮靜	c=1 d=4.44012e-08 t=11615
zhen jun 	真菌	c=2 d=0.0672055 t=11615
zhen liao 	診療	c=1 d=4.47773e-19 t=11615
zhen tong 	鎮痛	c=1 d=5.17115e-07 t=11615
zhen zheng 	真正	c=1 d=4.72849e-13 t=11615
zheng 	徵	c=18 d=1.64257 t=11615
zheng 	正	c=2 d=0.064622 t=11615
zheng bi 	正比	c=5 d=2.57268e-16 t=11615
zheng chang 	正常	c=23 d=0.135742 t=11615
zheng chang ren 	正常人	c=3 d=0.000446085 t=11615
zheng chang shi 	正常時	c=2 d=1.22803e-10 t=11615
zheng chang zhi 	正常值	c=1 d=1.17755e-11 t=11615
zheng dian 	正電	c=1 d=4.63565e-15 t=11615
zheng fu 	政府	c=1 d=5.70122e-08 t=11615
zheng fu 	整幅	c=1 d=1.33304e-15 t=11615
zheng fu tu xiang 	整幅圖像	c=1 d=1.15761e-16 t=11615
zheng ge 	整個	c=2 d=2.87394e-12 t=11615
zheng ju 	證據	c=1 d=2.67272e-07 t=11615
zheng qi 	整齊	c=1 d=0.00194986 t=11615
zheng que 	正確	c=4 d=5.91646e-16 t=11615
zheng ti 	整體	c=1 d=1.71303e-09 t=11615
zheng xiang guan 	正相關	c=2 d=5.90672e-06 t=11615
zheng xing 	正性	c=1 d=4.57534e-08 t=11615
zheng ze 	正則	c=3 d=1.91161e-05 t=11615
zheng zhuang 	症狀	c=21 d=0.000409144 t=11615
zhi 	值	c=3 d=0.00221482 t=11615
zhi 	只	c=2 d=1.61276e-05 t=11615
zhi 	指	c=19 d=0.168596 t=11615
zhi 	支	c=2 d=0.0579396 t=11615
zhi 	置	c=1 d=0.0014018 t=11615
zhi 	至	c=5 d=0.000645813 t=11615
zhi 	致	c=2 d=2.44757e-09 t=11615
zhi biao 	指標	c=10 d=0.0236356 t=11615
zhi bing 	致病	c=1 d=0.000703108 t=11615
zhi cha 	之差	c=1 d=0.0152222 t=11615
zhi chi 	支持	c=2 d=0.0156264 t=11615
zhi dan bai 	脂蛋白	c=6 d=0.522046 t=11615
zhi dao 	知道	c=2 d=0.179082 t=11615
zhi de 	值得	c=1 d=7.71708e-11 t=11615
zhi ding 	指定	c=4 d=0.218351 t=11615
zhi dong 	制動	c=2 d=7.44512e-18 t=11615
zhi du 	只讀	c=1 d=0.000207579 t=11615
zhi fang 	脂肪	c=2 d=0.460704 t=11615
zhi fang zu 	脂肪族	c=1 d=3.28306e-15 t=11615
zhi hou 	之後	c=2 d=0.177284 t=11615
zhi jia 	指甲	c=1 d=1.18365e-13 t=11615
zhi jian 	之間	c=3 d=0.00384878 t=11615
zhi jie 	直接	c=1 d=1.0116e-18 t=11615
zhi jing 	直徑	c=1 d=0.000485661 t=11615
zhi kuo 	支擴	c=4 d=0.00155265 t=11615
zhi lei 	酯類	c=0 d=0.0831104 t=11615
zhi li 	智力	c=1 d=0.250324 t=11615
zhi liang 	質量	c=3 d=4.24402e-06 t=11615
zhi liao 	治療	c=27 d=1.24501 t=11615
zhi liao bu dang 	治療不當	c=1 d=1.25015e-09 t=11615
zhi liu 	滯留	c=0 d=5.46632e-14 t=11615
zhi liu lv 	滯留率	c=1 d=5.49372e-13 t=11615
zhi mi 	緻密	c=1 d=0.000133688 t=11615
zhi ming 	致命	c=1 d=4.18154e-08 t=11615
zhi neng 	只能	c=1 d=3.28194e-11 t=11615
zhi qi guan 	支氣管	c=33 d=0.438757 t=11615
zhi rong 	脂溶	c=1 d=0.88692 t=11615
zhi rong xing 	脂溶性	c=4 d=2.5203 t=11615
zhi shao 	至少	c=1 d=1.15223e-20 t=11615
zhi shi 	致使	c=1 d=1.25989e-12 t=11615
zhi wai 	之外	c=1 d=0.165299 t=11615
zhi xing 	執行	c=3 d=0.50409 t=11615
zhi yao 	只要	c=1 d=0.113608 t=11615
zhi yi 	之一	c=2 d=6.96765e-15 t=11615
zhi yong 	只用	c=1 d=6.47485e-05 t=11615
zhi you 	只有	c=2 d=0.00951391 t=11615
zhi yuan ti 	支原體	c=1 d=0.000251014 t=11615
zhi zheng 	指證	c=1 d=3.96734e-07 t=11615
zhi zhi 	直至	c=1 d=0.0273237 t=11615
zhi zi 	質子	c=2 d=8.84589e-15 t=11615
zhong 	中	c=18 d=0.425283 t=11615
zhong 	終	c=1 d=0.00423234 t=11615
zhong 	腫	c=2 d=0.758863 t=11615
zhong 	重	c=2 d=0.000269247 t=11615
zhong bai 	鐘擺	c=2 d=0.00326872 t=11615
zhong da 	腫大	c=5 d=4.07911e-06 t=11615
zhong de 	中的	c=1 d=4.43936e-06 t=11615
zhong deng 	中等	c=2 d=1.24098e-17 t=11615
zhong du 	中度	c=2 d=2.15941e-06 t=11615
zhong du 	中毒	c=3 d=5.63972e-10 t=11615
zhong du 	重度	c=5 d=0.158025 t=11615
zhong du guan bi bu quan 	重度關閉不全	c=1 d=1.51984e-13 t=11615
zhong jian 	中間	c=0 d=4.24691e-15 t=11615
zhong jian bu jian duan 	中間不間斷	c=1 d=4.2682e-14 t=11615
zhong kuai 	腫塊	c=1 d=1.06585e-15 t=11615
zhong liang 	重量	c=1 d=0.000117979 t=11615
zhong liu 	腫瘤	c=8 d=0.145415 t=11615
zhong mo qi 	終末期	c=1 d=7.07114e-12 t=11615
zhong qi 	中期	c=1 d=2.30756e-14 t=11615
zhong shu 	中樞	c=1 d=0.0902655 t=11615
zhong wen 	中文	c=9 d=0.000319214 t=11615
zhong xia 	中下	c=1 d=3.74597e-08 t=11615
zhong xian 	中線	c=2 d=0.000940335 t=11615
zhong xin 	中心	c=2 d=5.81739e-10 t=11615
zhong xing 	中性	c=5 d=0.000949097 t=11615
zhong xue 	中學	c=1 d=0.2334 t=11615
zhong yang 	中央	c=1 d=0.000848038 t=11615
zhong yang guan 	中央管	c=1 d=0.00852289 t=11615
zhong yang shi 	中央室	c=1 d=5.32122e-20 t=11615
zhong yao 	重要	c=10 d=0.867134 t=11615
zhong yao zhi biao 	重要指標	c=1 d=6.72742e-14 t=11615
zhong yao zuo yong 	重要作用	c=1 d=2.91181e-15 t=11615
zhong yu 	終於	c=1 d=0.000850233 t=11615
zhong zheng 	重症	c=4 d=0.0614844 t=11615
zhou 	驟	c=0 d=4.76449e-15 t=11615
zhou bian 	週邊	c=0 d=5.45592e-21 t=11615
zhou bian shi 	週邊室	c=1 d=5.48327e-20 t=11615
zhou qi 	驟起	c=0 d=4.76449e-15 t=11615
zhou qi zhou luo 	驟起驟落	c=1 d=4.78838e-14 t=11615
zhou ran 	驟然	c=1 d=1.69247e-14 t=11615
zhou suo 	皺縮	c=1 d=0.136014 t=11615
zhou wei 	周圍	c=11 d=0.0340149 t=11615
zhou wei xue guan zheng 	周圍血管徵	c=1 d=1.48975e-13 t=11615
zhou xian 	軸線	c=2 d=1.85546e-16 t=11615
zhou xiang 	軸向	c=2 d=1.58766e-16 t=11615
zhou yang ying hua 	粥樣硬化	c=1 d=7.81082e-06 t=11615
zhou ye 	晝夜	c=1 d=5.31759e-12 t=11615
zhu 	主	c=1 d=4.41032e-17 t=11615
zhu 	住	c=1 d=9.71933e-19 t=11615
zhu bu 	逐步	c=1 d=9.74117e-16 t=11615
zhu dong 	主動	c=3 d=0.000105163 t=11615
zhu dong chong xi shou 	主動重吸收	c=1 d=1.18732e-20 t=11615
zhu dong mai 	主動脈	c=6 d=0.16142 t=11615
zhu dong mai ban 	主動脈瓣	c=2 d=9.94483e-14 t=11615
zhu dong mai ban qu 	主動脈瓣區	c=1 d=2.25059e-14 t=11615
zhu dong mai gong 	主動脈弓	c=1 d=2.7281e-13 t=11615
zhu dong mai nei 	主動脈內	c=1 d=4.69116e-08 t=11615
zhu dong mai zhong du 	主動脈重度	c=1 d=1.08132e-13 t=11615
zhu dong mai zhong du guan bi bu quan 	主動脈重度關閉不全	c=1 d=1.36835e-13 t=11615
zhu ji 	主機	c=3 d=5.59903e-17 t=11615
zhu jian 	逐漸	c=3 d=0.00573216 t=11615
zhu liu 	瀦留	c=2 d=0.0824965 t=11615
zhu ru 	注入	c=5 d=4.34096e-07 t=11615
zhu she 	注射	c=5 d=2.32407e-17 t=11615
zhu she gei yao 	注射給藥	c=1 d=5.88085e-20 t=11615
zhu ti 	主題	c=2 d=0.000190664 t=11615
zhu wang 	蛛網	c=0 d=0.000831246 t=11615
zhu wang mo 	蛛網膜	c=5 d=0.0373685 t=11615
zhu yao 	主要	c=30 d=0.813378 t=11615
zhu yao gen ju 	主要根據	c=1 d=4.67905e-07 t=11615
zhu yao jian yu 	主要見於	c=3 d=3.8067e-13 t=11615
zhu yao wei 	主要爲	c=1 d=2.09736e-08 t=11615
zhu yao yong yu 	主要用於	c=1 d=2.42422e-06 t=11615
zhu yao you 	主要有	c=1 d=2.37129e-11 t=11615
zhu yao yu 	主要與	c=1 d=0.537944 t=11615
zhu yao zai 	主要在	c=2 d=2.32092e-20 t=11615
zhu yi 	注意	c=3 d=0.0836344 t=11615
zhu yi xia 	注意下	c=1 d=6.63989e-07 t=11615
zhu zhuang 	柱狀	c=2 d=0.010949 t=11615
zhuan 	磚	c=1 d=0.000145549 t=11615
zhuan an mei 	轉氨酶	c=1 d=1.00847e-11 t=11615
zhuan bian 	轉變	c=1 d=1.41637e-07 t=11615
zhuan bian wei 	轉變爲	c=2 d=8.49103e-10 t=11615
zhuan dong 	轉動	c=0 d=4.53213e-15 t=11615
zhuan hua 	轉化	c=1 d=3.35863e-18 t=11615
zhuan huan 	轉換	c=1 d=3.70227e-17 t=11615
zhuan li 	專利	c=1 d=0.000471307 t=11615
zhuan men 	專門	c=3 d=0.000102055 t=11615
zhuan song 	轉送	c=1 d=0.0939493 t=11615
zhuan wei 	轉位	c=3 d=0.14344 t=11615
zhuan ye 	專業	c=1 d=3.1289e-08 t=11615
zhuan yi 	轉移	c=1 d=1.12237e-12 t=11615
zhuan yi dao 	轉移到	c=1 d=2.60133e-12 t=11615
zhuan yi mei 	轉移酶	c=2 d=1.30807e-12 t=11615
zhuan yun 	轉運	c=8 d=1.48936 t=11615
zhuang 	狀	c=6 d=0.0128319 t=11615
zhuang 	裝	c=1 d=1.23259e-19 t=11615
zhuang tai 	狀態	c=6 d=0.016827 t=11615
zhuang tai xia 	狀態下	c=1 d=7.17922e-14 t=11615
zhui guan 	椎管	c=1 d=8.51247e-18 t=11615
zhun 	準	c=1 d=0.00878245 t=11615
zhuo 	卓	c=2 d=0.120638 t=11615
zhuo 	濁	c=1 d=0.000312783 t=11615
zhuo mian 	桌面	c=1 d=0.0492917 t=11615
zhuo yin 	濁音	c=4 d=0.00136719 t=11615
zhuo yin qu 	濁音區	c=1 d=1.39528e-07 t=11615
zi 	甾	c=1 d=6.85865e-06 t=11615
zi 	自	c=1 d=1.34473e-14 t=11615
zi dai 	自帶	c=1 d=0.0128424 t=11615
zi dong 	自動	c=23 d=0.158878 t=11615
zi fa xing 	自發性	c=2 d=1.04149 t=11615
zi gong si 	子公司	c=1 d=1.87372e-05 t=11615
zi ji 	自己	c=4 d=0.262103 t=11615
zi ji xie 	自己寫	c=1 d=0.13466 t=11615
zi lv xing 	自律性	c=1 d=8.6323e-06 t=11615
zi mu 	字母	c=4 d=0.000266676 t=11615
zi ran 	自然	c=3 d=3.48796e-18 t=11615
zi se 	紫色	c=1 d=1.62025e-13 t=11615
zi ti 	字體	c=11 d=0.00122306 t=11615
zi wai xian 	紫外線	c=1 d=5.86367e-15 t=11615
zi you 	自由	c=1 d=0.559898 t=11615
zong 	總	c=3 d=3.05257e-09 t=11615
zong bo 	縱波	c=1 d=3.89209e-17 t=11615
zong ge 	縱隔	c=2 d=1.36943 t=11615
zong he 	綜合	c=1 d=0.00960953 t=11615
zong he zheng 	綜合徵	c=3 d=0.164897 t=11615
zong liang 	總量	c=2 d=0.579842 t=11615
zong lun 	總論	c=2 d=3.25714e-10 t=11615
zong shu 	總數	c=1 d=4.56586e-13 t=11615
zong su 	總訴	c=1 d=3.56631e-18 t=11615
zong yao 	總要	c=1 d=1.74823e-13 t=11615
zou lu 	走路	c=1 d=0.970446 t=11615
zu 	族	c=1 d=3.81275e-15 t=11615
zu ai 	阻礙	c=1 d=1.60993e-14 t=11615
zu cheng 	組成	c=9 d=3.40229e-14 t=11615
zu fen 	組分	c=1 d=0.0118551 t=11615
zu he 	組合	c=1 d=2.6621e-19 t=11615
zu kang 	阻抗	c=6 d=2.05242e-15 t=11615
zu li 	阻力	c=2 d=4.76451e-07 t=11615
zu se 	阻塞	c=5 d=0.00844438 t=11615
zu se hou 	阻塞後	c=1 d=0.00245409 t=11615
zu se xing 	阻塞性	c=5 d=0.00721426 t=11615
zu zhi 	組織	c=52 d=5.65313 t=11615
zu zhi 	阻止	c=1 d=0.154124 t=11615
zu zhi 	阻滯	c=12 d=3.4834e-05 t=11615
zu zhi de 	組織的	c=1 d=0.436049 t=11615
zu zhi shi 	組織時	c=1 d=1.73143e-17 t=11615
zu zhi xue 	組織學	c=1 d=2.37743e-12 t=11615
zuan 	賺	c=1 d=6.59084e-08 t=11615
zui 	最	c=10 d=0.326339 t=11615
zui chang jian 	最常見	c=1 d=4.46313e-10 t=11615
zui chang yong 	最常用	c=1 d=0.0218184 t=11615
zui da 	最大	c=3 d=1.04542e-14 t=11615
zui di 	最低	c=1 d=2.76312e-16 t=11615
zui gui 	最貴	c=1 d=0.00887071 t=11615
zui jin 	最近	c=1 d=4.74896e-05 t=11615
zui mei 	最美	c=1 d=6.91322e-11 t=11615
zui qiang 	最強	c=1 d=4.38757e-15 t=11615
zui zhong 	最終	c=1 d=3.79341e-09 t=11615
zui zhong yao 	最重要	c=1 d=4.8273e-21 t=11615
zun xun 	遵循	c=3 d=1.07372e-15 t=11615
zuo 	做	c=2 d=2.92933e-05 t=11615
zuo 	唑	c=2 d=0.0783643 t=11615
zuo 	左	c=8 d=0.910928 t=11615
zuo biao 	座標	c=1 d=6.83258e-20 t=11615
zuo ce 	左側	c=1 d=0.704688 t=11615
zuo dao 	做到	c=1 d=6.90969e-05 t=11615
zuo fang 	左房	c=2 d=0.00127476 t=11615
zuo gong 	做功	c=2 d=3.70878e-09 t=11615
zuo jian 	左肩	c=1 d=1.07583e-07 t=11615
zuo shi 	左室	c=6 d=3.77918e-07 t=11615
zuo wei 	作爲	c=3 d=0.0228227 t=11615
zuo wei 	做爲	c=1 d=4.26602e-08 t=11615
zuo wei 	坐位	c=3 d=0.000805111 t=11615
zuo xia 	左下	c=1 d=0.0049667 t=11615
zuo xin 	左心	c=4 d=0.737123 t=11615
zuo xin er 	左心耳	c=1 d=0.00110269 t=11615
zuo xin fang 	左心房	c=1 d=0.00121259 t=11615
zuo xin shi 	左心室	c=4 d=0.0024296 t=11615
zuo xiong 	左胸	c=1 d=0.000457378 t=11615
zuo yi 	左移	c=1 d=0.00153381 t=11615
zuo yong 	作用	c=23 d=0.385847 t=11615
zuo yong ji zhi 	作用機制	c=1 d=5.20964e-06 t=11615
zuo yong kuai 	作用快	c=1 d=0.0934807 t=11615
zuo yong xia 	作用下	c=2 d=1.42467e-12 t=11615
zuo yong xiao 	作用小	c=1 d=0.0862936 t=11615
zuo you 	左右	c=2 d=1.13598e-06 t=11615
zuo yuan 	作緣	c=1 d=2.17843e-13 t=11615
